"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 27 23:59:25 GMT 2023","Sat May 27 23:59:29 GMT 2023","4247","","org.heyrmi.portfolio.PortfolioTest","","org.heyrmi.portfolio.PortfolioTest","smokeTestPortfolioWebsite","Smoke Test of Portfolio Website",""
"passed","Sat May 27 23:59:25 GMT 2023","Sat May 27 23:59:30 GMT 2023","4851","","org.heyrmi.portfolio.PortfolioTest","","org.heyrmi.portfolio.PortfolioTest","regressionTestPortfolioWebsite","Regression Test of Portfolio Website",""
